BILL DATE,BILL TIME,INVOICE NO,ITEM NAME,QTY,GROSS AMT,NETT AMT,BRANCH NAME
2018-09-04,2018-09-04 14:31:06,42544,A07 Italian White,1,0.00,0.00,Demo Restaurant
2018-09-04,2018-09-04 14:31:06,42544,K3 komobo3,1,20.00,20.00,Demo Restaurant
2018-09-04,2018-09-04 14:38:07,42545,A07 Italian White,1,0.00,0.00,Demo Restaurant
2018-09-04,2018-09-04 14:38:07,42545,K3 komobo3,1,20.00,20.00,Demo Restaurant
2018-09-04,2018-09-04 14:42:45,42546,R01 Fried Rice,5,34.50,27.60,Demo Restaurant
2018-09-04,2018-09-04 14:49:56,42547,D01 Test Drink,1,5.00,5.00,Demo Restaurant
2018-09-04,2018-09-04 14:49:56,42547,R01 Fried Rice,4,27.60,27.60,Demo Restaurant
2018-09-18,2018-09-18 19:51:08,42683,A05 Black Forest,7,38.50,38.50,Demo Restaurant
2018-09-18,2018-09-18 19:51:08,42683,A05 Black Forest,3,0.00,0.00,Demo Restaurant
2018-09-18,2018-09-18 19:51:08,42683,DS01 banab oat,2,0.00,0.00,Demo Restaurant
2018-09-18,2018-09-18 19:51:08,42683,CB04 Damien Fav,1,10.00,10.00,Demo Restaurant
2018-09-18,2018-09-18 19:51:08,42682,A05 Black Forest,7,38.50,38.50,Demo Restaurant
2018-09-18,2018-09-18 19:51:08,42682,A05 Black Forest,3,0.00,0.00,Demo Restaurant
2018-09-18,2018-09-18 19:51:08,42682,DS01 banab oat,2,0.00,0.00,Demo Restaurant
2018-09-18,2018-09-18 19:51:08,42682,CB04 Damien Fav,1,10.00,10.00,Demo Restaurant
2018-09-18,2018-09-18 19:51:08,42681,A05 Black Forest,7,38.50,38.50,Demo Restaurant
2018-09-18,2018-09-18 19:51:08,42678,A05 Black Forest,7,38.50,38.50,Demo Restaurant
2018-09-19,2018-09-19 17:45:03,53051,A05 Black Forest,1,6000.00,6000.00,Demo Restaurant
2018-09-19,2018-09-19 17:53:26,53052,A05 Black Forest,2,12.00,12.00,Demo Restaurant
2018-09-25,2018-09-25 10:59:04,42684,A05 Black Forest,7,38.50,38.50,Demo Restaurant
2018-09-25,2018-09-25 10:59:04,42684,A05 Black Forest,3,0.00,0.00,Demo Restaurant
2018-09-25,2018-09-25 11:59:58,42686,A05 Black Forest,7,38.50,38.50,Demo Restaurant
2018-09-25,2018-09-25 11:59:58,42686,A05 Black Forest,3,0.00,0.00,Demo Restaurant
2018-09-25,2018-09-25 11:59:58,42686,DS01 banab oat,2,0.00,0.00,Demo Restaurant
2018-09-25,2018-09-25 11:59:58,42686,CB04 Damien Fav,1,10.00,10.00,Demo Restaurant
2018-09-25,2018-09-25 12:11:04,42687,A05 Black Forest,2,0.00,0.00,Demo Restaurant
2018-09-25,2018-09-25 12:11:04,42687,"A07 Italian W""it'e",1,0.00,0.00,Demo Restaurant
2018-09-25,2018-09-25 12:11:04,42687,DS01 banab oat,2,0.00,0.00,Demo Restaurant
2018-09-25,2018-09-25 12:11:04,42687,CB04 Damien Fav,1,10.00,10.00,Demo Restaurant
2018-09-25,2018-09-25 12:13:04,42688,A05 Black Forest,7,38.50,38.50,Demo Restaurant
2018-09-25,2018-09-25 12:13:04,42688,A05 Black Forest,3,0.00,0.00,Demo Restaurant
2018-09-25,2018-09-25 12:13:04,42688,DS01 banab oat,2,0.00,0.00,Demo Restaurant
2018-09-25,2018-09-25 12:13:04,42688,CB04 Damien Fav,1,10.00,10.00,Demo Restaurant
2018-09-25,2018-09-25 12:32:55,42689,A05 Black Forest,3,0.00,0.00,Demo Restaurant
2018-09-25,2018-09-25 12:32:55,42689,DS01 banab oat,2,0.00,0.00,Demo Restaurant
2018-09-25,2018-09-25 12:32:55,42689,CB04 Damien Fav,1,10.00,10.00,Demo Restaurant
2018-09-25,2018-09-25 12:35:51,42690,A05 Black Forest,3,0.00,0.00,Demo Restaurant
2018-09-25,2018-09-25 12:35:51,42690,DS01 banab oat,2,0.00,0.00,Demo Restaurant
2018-09-25,2018-09-25 12:35:51,42690,CB04 Damien Fav,1,10.00,10.00,Demo Restaurant
2018-09-25,2018-09-25 12:41:58,42691,DS01 banab oat,2,0.00,0.00,Demo Restaurant
2018-09-25,2018-09-25 12:41:58,42691,A05 Black Forest,3,0.00,0.00,Demo Restaurant
2018-09-25,2018-09-25 12:41:58,42691,CB04 Damien Fav,1,10.00,10.00,Demo Restaurant
2018-09-25,2018-09-25 12:44:11,42692,A05 Black Forest,3,0.00,0.00,Demo Restaurant
2018-09-25,2018-09-25 12:44:11,42692,DS01 banab oat,2,0.00,0.00,Demo Restaurant
2018-09-25,2018-09-25 12:44:11,42692,CB04 Damien Fav,1,10.00,10.00,Demo Restaurant
2018-09-25,2018-09-25 12:47:34,42693,A05 Black Forest,3,0.00,0.00,Demo Restaurant
2018-09-25,2018-09-25 12:47:34,42693,DS01 banab oat,2,0.00,0.00,Demo Restaurant
2018-09-25,2018-09-25 12:47:34,42693,CB04 Damien Fav,1,10.00,10.00,Demo Restaurant
2018-09-25,2018-09-25 12:47:34,42693,"A07 Italian W""it'e",1,4.00,4.00,Demo Restaurant
2018-09-25,2018-09-25 13:27:00,42694,A05 Black Forest,3,0.00,0.00,Demo Restaurant
