tagitemID,tagName,tagDesc,printer,itemCustomID
878,Beverage,Beverage,RP80 Beverage Printer,10
882,Beverage,Beverage,RP80 Beverage Printer,14
888,Beverage,Beverage,RP80 Beverage Printer,2
889,Beverage,Beverage,RP80 Beverage Printer,3
890,Beverage,Beverage,RP80 Beverage Printer,1
893,Beverage,Beverage,RP80 Beverage Printer,4
894,Beverage,Beverage,RP80 Beverage Printer,5
895,Beverage,Beverage,RP80 Beverage Printer,6
896,Beverage,Beverage,RP80 Beverage Printer,7
897,Beverage,Beverage,RP80 Beverage Printer,8
898,Beverage,Beverage,RP80 Beverage Printer,9
904,Beverage,Beverage,RP80 Beverage Printer,15
905,Beverage,Beverage,RP80 Beverage Printer,16
906,Beverage,Beverage,RP80 Beverage Printer,17
907,Beverage,Beverage,RP80 Beverage Printer,18
908,Beverage,Beverage,RP80 Beverage Printer,19
944,Beverage,Beverage,RP80 Beverage Printer,56
945,Beverage,Beverage,RP80 Beverage Printer,54
946,Beverage,Beverage,RP80 Beverage Printer,55
947,Beverage,Beverage,RP80 Beverage Printer,57
948,Beverage,Beverage,RP80 Beverage Printer,58
949,Beverage,Beverage,RP80 Beverage Printer,59
950,Beverage,Beverage,RP80 Beverage Printer,60
951,Beverage,Beverage,RP80 Beverage Printer,61
952,Beverage,Beverage,RP80 Beverage Printer,62
953,Beverage,Beverage,RP80 Beverage Printer,63
954,Beverage,Beverage,RP80 Beverage Printer,64
955,Beverage,Beverage,RP80 Beverage Printer,65
956,Beverage,Beverage,RP80 Beverage Printer,66
957,Beverage,Beverage,RP80 Beverage Printer,67
958,Beverage,Beverage,RP80 Beverage Printer,68
960,Beverage,Beverage,RP80 Beverage Printer,70
961,Beverage,Beverage,RP80 Beverage Printer,71
962,Beverage,Beverage,RP80 Beverage Printer,72
963,Beverage,Beverage,RP80 Beverage Printer,73
964,Beverage,Beverage,RP80 Beverage Printer,74
965,Beverage,Beverage,RP80 Beverage Printer,75
966,Beverage,Beverage,RP80 Beverage Printer,76
967,Beverage,Beverage,RP80 Beverage Printer,77
968,Beverage,Beverage,RP80 Beverage Printer,78
969,Beverage,Beverage,RP80 Beverage Printer,79
970,Beverage,Beverage,RP80 Beverage Printer,81
971,Beverage,Beverage,RP80 Beverage Printer,83
978,Beverage,Beverage,RP80 Beverage Printer,82
979,Beverage,Beverage,RP80 Beverage Printer,91
980,Beverage,Beverage,RP80 Beverage Printer,90
981,Beverage,Beverage,RP80 Beverage Printer,92
982,Beverage,Beverage,RP80 Beverage Printer,93
983,Beverage,Beverage,RP80 Beverage Printer,94
986,Beverage,Beverage,RP80 Beverage Printer,97
987,Beverage,Beverage,RP80 Beverage Printer,98
988,Beverage,Beverage,RP80 Beverage Printer,99
989,Beverage,Beverage,RP80 Beverage Printer,96
990,Beverage,Beverage,RP80 Beverage Printer,43
1021,Beverage,Beverage,RP80 Beverage Printer,42
1023,Beverage,Beverage,RP80 Beverage Printer,999005015
1024,Beverage,Beverage,RP80 Beverage Printer,107
1025,Beverage,Beverage,RP80 Beverage Printer,108
1026,Beverage,Beverage,RP80 Beverage Printer,109
1027,Beverage,Beverage,RP80 Beverage Printer,110
1028,Beverage,Beverage,RP80 Beverage Printer,111
1029,Beverage,Beverage,RP80 Beverage Printer,112
1031,Beverage,Beverage,RP80 Beverage Printer,113
1053,Beverage,Beverage,RP80 Beverage Printer,999006081
1054,Beverage,Beverage,RP80 Beverage Printer,999006082
1055,Beverage,Beverage,RP80 Beverage Printer,999006074
1056,Beverage,Beverage,RP80 Beverage Printer,999006075
1057,Beverage,Beverage,RP80 Beverage Printer,999006070
1058,Beverage,Beverage,RP80 Beverage Printer,999006071
1059,Beverage,Beverage,RP80 Beverage Printer,999006076
1060,Beverage,Beverage,RP80 Beverage Printer,999006093
1061,Beverage,Beverage,RP80 Beverage Printer,999006072
1062,Beverage,Beverage,RP80 Beverage Printer,999006073
1063,Beverage,Beverage,RP80 Beverage Printer,999006096
1064,Beverage,Beverage,RP80 Beverage Printer,999006097
1065,Beverage,Beverage,RP80 Beverage Printer,999006098
1066,Beverage,Beverage,RP80 Beverage Printer,999006099
1067,Beverage,Beverage,RP80 Beverage Printer,999006009
1068,Beverage,Beverage,RP80 Beverage Printer,999006010
1069,Beverage,Beverage,RP80 Beverage Printer,999006063
1070,Beverage,Beverage,RP80 Beverage Printer,999006064
1071,Beverage,Beverage,RP80 Beverage Printer,999006065
1072,Beverage,Beverage,RP80 Beverage Printer,999006066
1073,Beverage,Beverage,RP80 Beverage Printer,999006062
1074,Beverage,Beverage,RP80 Beverage Printer,999006092
1075,Beverage,Beverage,RP80 Beverage Printer,999006083
1076,Beverage,Beverage,RP80 Beverage Printer,999006014
1077,Beverage,Beverage,RP80 Beverage Printer,999006077
1078,Beverage,Beverage,RP80 Beverage Printer,999006078
1079,Beverage,Beverage,RP80 Beverage Printer,999006079
1080,Beverage,Beverage,RP80 Beverage Printer,999006094
1081,Beverage,Beverage,RP80 Beverage Printer,999006001
1082,Beverage,Beverage,RP80 Beverage Printer,999006002
1083,Beverage,Beverage,RP80 Beverage Printer,999006056
1084,Beverage,Beverage,RP80 Beverage Printer,999006057
1085,Beverage,Beverage,RP80 Beverage Printer,999006060
1086,Beverage,Beverage,RP80 Beverage Printer,999006090
1087,Beverage,Beverage,RP80 Beverage Printer,999006003
1088,Beverage,Beverage,RP80 Beverage Printer,999006004
1089,Beverage,Beverage,RP80 Beverage Printer,999006058
1090,Beverage,Beverage,RP80 Beverage Printer,999006059
1091,Beverage,Beverage,RP80 Beverage Printer,999006061
1092,Beverage,Beverage,RP80 Beverage Printer,999006091
1093,Beverage,Beverage,RP80 Beverage Printer,999006054
1094,Beverage,Beverage,RP80 Beverage Printer,999006055
1095,Beverage,Beverage,RP80 Beverage Printer,999006005
1096,Beverage,Beverage,RP80 Beverage Printer,999006006
1098,Beverage,Beverage,RP80 Beverage Printer,999007081
1099,Beverage,Beverage,RP80 Beverage Printer,999007082
